,Unnamed: 0,book_info,movie_info,book_year,book_title,book_author,id,film_year,film_title,title,rating,year,users_rating,votes,metascore,img_url,countries,languages,actors,genre,tagline,description,directors,runtime,imdb_url
4,4,"About a Boy (1998), Nick Hornby",About a Boy (2002),1998,About a Boy,Nick Hornby,4271.0,2002,About a Boy,About a Boy,PG-13,2002,7.1,"157,725",75,"https://m.media-amazon.com/images/M/MV5BMTQ2Mzg4MDAzNV5BMl5BanBnXkFtZTgwMjcxNTYxMTE@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","['UK', 'USA', 'France', 'Germany']",['English'],"['Hugh Grant', 'Nicholas Hoult', 'Sharon Small', 'Madison Cook', 'Jordan Cook', 'Nicholas Hutchison', 'Ryan Speechley', 'Joseph Speechley', 'Toni Collette', 'Natalia Tena', 'Laura Kennington', 'Tanika Swaby', 'Peter McNicholl', 'Chris Webster', 'Ben Ridgeway']","['Comedy', 'Drama', 'Romance']",Growing up has nothing to do with age.,"A cynical, immature young man is taught how to act like a grown-up by a little boy.","['Chris Weitz', 'Paul Weitz']",101 min,https://www.imdb.com/title/tt0276751/
5,5,"About Schmidt (1996), Louis Begley",About Schmidt (2002),1996,About Schmidt,Louis Begley,908745.0,2002,About Schmidt,About Schmidt,R,2002,7.2,"115,953",85,"https://m.media-amazon.com/images/M/MV5BMTYxOTAyNjEzNV5BMl5BanBnXkFtZTcwMTAxMDAwMQ@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",['USA'],['English'],"['Jack Nicholson', 'Kathy Bates', 'Hope Davis', 'Dermot Mulroney', 'June Squibb', 'Howard Hesseman', 'Harry Groener', 'Connie Ray', 'Len Cariou', 'Mark Venhuizen', 'Cheryl Hamada', 'Phil Reeves', 'Matt Winston', 'James M. Connor', 'Jill Anderson']","['Comedy', 'Drama']",Schmidt Happens,"A man upon retirement, embarks on a journey to his estranged daughter's wedding, only to discover more about himself and life than he ever expected.",['Alexander Payne'],125 min,https://www.imdb.com/title/tt0257360/
6,6,"Absolute Power (1996), David Baldacci",Absolute Power (1997),1996,Absolute Power,David Baldacci,15159.0,1997,Absolute Power,Absolute Power,R,1997,6.7,"45,178",52,"https://m.media-amazon.com/images/M/MV5BNDFlNTZmOGYtYmE0ZC00OTE4LWI5YzctNmZmZDU3M2ZiMmI4XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_UY268_CR0,0,182,268_AL__QL50.jpg",['USA'],"['English', 'Spanish']","['Clint Eastwood', 'Gene Hackman', 'Ed Harris', 'Laura Linney', 'Scott Glenn', 'Dennis Haysbert', 'Judy Davis', 'E.G. Marshall', 'Melora Hardin', 'Kenneth Welsh', 'Penny Johnson Jerald', 'Richard Jenkins', 'Mark Margolis', 'Elaine Kagan', 'Alison Eastwood']","['Action', 'Crime', 'Drama', 'Thriller']",Corrupts Absolutely.,A career thief witnesses a horrific crime involving the U.S. President.,['Clint Eastwood'],121 min,https://www.imdb.com/title/tt0118548/
7,7,"The Accidental Tourist (1985), Anne Tyler",The Accidental Tourist (1988),1985,The Accidental Tourist,Anne Tyler,60792.0,1988,The Accidental Tourist,The Accidental Tourist,PG,1988,6.8,"13,675",53,"https://m.media-amazon.com/images/M/MV5BZWI3MzgyODctODM3NS00YTYxLThjZjAtYzdjOGIzZWQyZmIzXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",['USA'],['English'],"['William Hurt', 'Kathleen Turner', 'Geena Davis', 'Amy Wright', 'David Ogden Stiers', 'Ed Begley Jr.', 'Bill Pullman', 'Robert Hy Gorman', 'Bradley Mott', 'Seth Granger', 'Amanda Houck', 'Caroline Houck', 'London Nelson', 'Gregory Gouyer', 'Bill Lee Brown']","['Drama', 'Romance']",,An emotionally distant writer of travel guides must carry on with his life after his son is killed and his marriage crumbles.,['Lawrence Kasdan'],121 min,https://www.imdb.com/title/tt0094606/
8,8,"Across 110th (1970), Wally Ferris",Across 110th Street (1972),1970,Across 110th,Wally Ferris,6916657.0,1972,Across 110th Street,Across 110th Street,R,1972,7.0,"4,207",,"https://m.media-amazon.com/images/M/MV5BMjAwY2U5ZmYtNzllNS00YWM0LTlmZWEtZjkxZDJhY2FkMWRlXkEyXkFqcGdeQXVyMjI4MjA5MzA@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",['USA'],['English'],"['Frank Adu', 'Frank Arno', 'Joseph Attles', 'Paul Benjamin', 'Ed Bernard', 'Tina Beyer', 'Gerry Black', 'Samual Blue Jr.', 'Norman Bush', 'Anthony C. Cannon', 'Maria Carey', 'Anthony Charnota', 'Dick Crockett', 'Keith Davis', 'George DiCenzo']","['Action', 'Crime', 'Drama', 'Thriller']","If you steal $300,000 from the mob, it's not robbery. It's suicide.",Two New York City cops go after amateur crooks who are trying to rip off the Mafia and start a gang war.,['Barry Shear'],102 min,https://www.imdb.com/title/tt0068168/
10,10,"Adams Fall (2000), Sean Desmond",Abandon (2002),2000,Adams Fall,Sean Desmond,1171639.0,2002,Abandon,Abandon,PG-13,2002,4.9,"8,669",36,"https://m.media-amazon.com/images/M/MV5BMTI3OTg4MTk2NF5BMl5BanBnXkFtZTYwNDQ0Njc2._V1_UX182_CR0,0,182,268_AL__QL50.jpg","['USA', 'Germany', 'Canada']","['English', 'Italian']","['Katie Holmes', 'Benjamin Bratt', 'Charlie Hunnam', 'Zooey Deschanel', 'Fred Ward', 'Mark Feuerstein', 'Melanie Lynskey', 'Philip Bosco', 'Gabriel Mann', 'Will McCormack', 'Gabrielle Union', 'Greg Kramer', 'Gillian Ferrabee', 'Barry Julien', 'Tony Goldwyn']","['Drama', 'Music', 'Mystery', 'Romance', 'Thriller']",Watch who you leave behind.,An investigation of a college student's missing boyfriend becomes quite strange when she begins to see him periodically.,['Stephen Gaghan'],99 min,https://www.imdb.com/title/tt0267248/
11,11,"Addie Pray (1971), Joe David Brown",Paper Moon (1973),1971,Addie Pray,Joe David Brown,790338.0,1973,Paper Moon,Paper Moon,PG,1973,8.1,"36,657",77,"https://m.media-amazon.com/images/M/MV5BOWVmYzQwY2MtOTBjNi00MDNhLWI5OGMtN2RiMDYxODI3MjU5XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",['USA'],['English'],"[""Ryan O'Neal"", ""Tatum O'Neal"", 'Madeline Kahn', 'John Hillerman', 'P.J. Johnson', 'Jessie Lee Fulton', 'James N. Harrell', 'Lila Waters', 'Noble Willingham', 'Bob Young', 'Jack Saunders', 'Jody Wilbur', 'Liz Ross', 'Yvonne Harrison', 'Ed Reed']","['Comedy', 'Drama']",These aren't everyday people and this is no ordinary movie.,"During the Great Depression, a con man finds himself saddled with a young girl who may or may not be his daughter, and the two forge an unlikely partnership.",['Peter Bogdanovich'],102 min,https://www.imdb.com/title/tt0070510/
14,14,"Adventure (1911), Jack London",Adventure (1925),1911,Adventure,Jack London,,1925,Adventure,Adventure,,1925,5.5,22,,"https://m.media-amazon.com/images/M/MV5BMzhjNTBlNzItYmJkOC00OGQ2LWJhMzctZjFiMzNhMDVjMDI1XkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",['USA'],['English'],"['Tom Moore', 'Pauline Starke', 'Wallace Beery', 'Raymond Hatton', 'Walter McGrail', 'Duke Kahanamoku', 'James P. Spencer', 'Noble Johnson']","['Adventure', 'Drama']",,"David Sheldon owns a plantation in the Solomon Islands. Many of his field hands die of blackwater fever, and then he becomes sick himself. Joan Lackland, a female soldier of fortune, ...",['Victor Fleming'],70 min,https://www.imdb.com/title/tt0015542/
15,15,"The Adventurers (1966), Harold Robbins",The Adventurers (1970),1966,The Adventurers,Harold Robbins,56649.0,1970,The Adventurers,The Adventurers,R,1970,5.4,570,,"https://m.media-amazon.com/images/M/MV5BMGEzZDg5YTUtMDBlYS00OGYzLWE0ZGQtOWU2ZjhlYzY1OWYwL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",['USA'],['English'],"['Charles Aznavour', 'Alan Badel', 'Candice Bergen', 'Thommy Berggren', 'Delia Boccardo', 'Ernest Borgnine', 'Rossano Brazzi', 'Olivia de Havilland', 'Bekim Fehmiu', 'Anna Moffo', 'Fernando Rey', 'Leigh Taylor-Young', 'Yolande Donlan', 'John Ireland', 'Jorge Martínez de Hoyos']","['Action', 'Adventure', 'Drama', 'Romance', 'Thriller']","Nothing has been left out of ""The Adventurers""",The wealthy playboy son of an assassinated South American diplomat discovers that his father was really murdered on orders of the corrupt president of the country--a man who was his ...,['Lewis Gilbert'],171 min,https://www.imdb.com/title/tt0065374/
17,17,"The Adventures of Hajji Baba of Ispahan (1824), James Justinian Morier",The Adventures of Hajji Baba (1954),1824,The Adventures of Hajji Baba of Ispahan,James Justinian Morier,135064.0,1954,The Adventures of Hajji Baba,The Adventures of Hajji Baba,Approved,1954,6.1,382,,"https://m.media-amazon.com/images/M/MV5BNGViNTZiYjgtNTVkZi00ZDJiLWEwYmYtODM0NDU4YmIxNTAxXkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",['USA'],"['English', 'Albanian']","['John Derek', 'Elaine Stewart', 'Amanda Blake', 'Rosemarie Stack', 'Thomas Gomez', 'Paul Picerni', 'Donald Randolph']","['Action', 'Adventure', 'Romance']","The girls pronounce it ""Hotcha Baba!""","In Ispahan, Persia, Hajji Baba is leaving his father's shop to seek a greater fortune, while the Princess Fawzia is trying to talk her father, the Caliph into giving her in marriage to ...",['Don Weis'],94 min,https://www.imdb.com/title/tt0046683/
