,book_info,movie_info,book_year,book_title,book_author,id,film_year,film_title
0,"The A.B.C. Murders (1936), Agatha Christie",The Alphabet Murders (1966),1936,The A.B.C. Murders,Agatha Christie,16322,1966,The Alphabet Murders
1,"The A.B.C. Murders (1936), Agatha Christie",The A.B.C. Murders (1992) (TV),1936,The A.B.C. Murders,Agatha Christie,16322,1992,The A.B.C. Murders
2,"À ton image (1998), Louise L. Lambrichs",À ton image (2004),1998,À ton image,Louise L. Lambrichs,4850599,2004,À ton image
3,"De Aanslag (The Assault) (1982), Harry Mulisch",The Assault (1986),1982,De Aanslag,Harry Mulisch,24939416,1986,The Assault
4,"About a Boy (1998), Nick Hornby",About a Boy (2002),1998,About a Boy,Nick Hornby,4271,2002,About a Boy
5,"About Schmidt (1996), Louis Begley",About Schmidt (2002),1996,About Schmidt,Louis Begley,908745,2002,About Schmidt
6,"Absolute Power (1996), David Baldacci",Absolute Power (1997),1996,Absolute Power,David Baldacci,15159,1997,Absolute Power
7,"The Accidental Tourist (1985), Anne Tyler",The Accidental Tourist (1988),1985,The Accidental Tourist,Anne Tyler,60792,1988,The Accidental Tourist
8,"Across 110th (1970), Wally Ferris",Across 110th Street (1972),1970,Across 110th,Wally Ferris,6916657,1972,Across 110th Street
9,"Adam Resurrected (Man, Son of a Dog) (1971), Yoram Kaniuk",Adam Resurrected (2009),1971,Adam Resurrected,Yoram Kaniuk,535434,2009,Adam Resurrected
10,"Adams Fall (2000), Sean Desmond",Abandon (2002),2000,Adams Fall,Sean Desmond,1171639,2002,Abandon
11,"Addie Pray (1971), Joe David Brown",Paper Moon (1973),1971,Addie Pray,Joe David Brown,790338,1973,Paper Moon
12,"Adiliya by the River (1999), Jin Renshun",Green Tea (2003),1999,Adiliya by the River,Jin Renshun,,2003,Green Tea
13,"Adolphe (1816), Benjamin Constant",Adolphe (2002),1816,Adolphe,Benjamin Constant,455696,2002,Adolphe
14,"Adventure (1911), Jack London",Adventure (1925),1911,Adventure,Jack London,,1925,Adventure
15,"The Adventurers (1966), Harold Robbins",The Adventurers (1970),1966,The Adventurers,Harold Robbins,56649,1970,The Adventurers
16,"The Adventures of Captain Alatriste (Las aventuras del Capitán Alatriste) (1996–present) (series), Arturo Pérez-Reverte",Alatriste (2006),1996,The Adventures of Captain Alatriste,Arturo Pérez-Reverte,36616288,2006,Alatriste
17,"The Adventures of Hajji Baba of Ispahan (1824), James Justinian Morier",The Adventures of Hajji Baba (1954),1824,The Adventures of Hajji Baba of Ispahan,James Justinian Morier,135064,1954,The Adventures of Hajji Baba
18,"Adventures of Huckleberry Finn (1884), Mark Twain",Huck and Tom (1918),1884,Adventures of Huckleberry Finn,Mark Twain,2956,1918,Huck and Tom
19,"Adventures of Huckleberry Finn (1884), Mark Twain",Huckleberry Finn (1920),1884,Adventures of Huckleberry Finn,Mark Twain,2956,1920,Huckleberry Finn
20,"Adventures of Huckleberry Finn (1884), Mark Twain",Huckleberry Finn (1931),1884,Adventures of Huckleberry Finn,Mark Twain,2956,1931,Huckleberry Finn
21,"Adventures of Huckleberry Finn (1884), Mark Twain",Huck Finn (1937),1884,Adventures of Huckleberry Finn,Mark Twain,2956,1937,Huck Finn
22,"Adventures of Huckleberry Finn (1884), Mark Twain",The Adventures of Huckleberry Finn (1939),1884,Adventures of Huckleberry Finn,Mark Twain,2956,1939,The Adventures of Huckleberry Finn
23,"Adventures of Huckleberry Finn (1884), Mark Twain",The Adventures of Huckleberry Finn (1955) (TV),1884,Adventures of Huckleberry Finn,Mark Twain,2956,1955,The Adventures of Huckleberry Finn
24,"Adventures of Huckleberry Finn (1884), Mark Twain",The Adventures of Huckleberry Finn (1960),1884,Adventures of Huckleberry Finn,Mark Twain,2956,1960,The Adventures of Huckleberry Finn
25,"Adventures of Huckleberry Finn (1884), Mark Twain",Huckleberry Finn (1974),1884,Adventures of Huckleberry Finn,Mark Twain,2956,1974,Huckleberry Finn
26,"Adventures of Huckleberry Finn (1884), Mark Twain",Hopelessly Lost (1972),1884,Adventures of Huckleberry Finn,Mark Twain,2956,1972,Hopelessly Lost
27,"Adventures of Huckleberry Finn (1884), Mark Twain",Huckleberry Finn (1975) (TV),1884,Adventures of Huckleberry Finn,Mark Twain,2956,1975,Huckleberry Finn
28,"Adventures of Huckleberry Finn (1884), Mark Twain",The Adventures of Huckleberry Finn (1981) (TV),1884,Adventures of Huckleberry Finn,Mark Twain,2956,1981,The Adventures of Huckleberry Finn
29,"Adventures of Huckleberry Finn (1884), Mark Twain",Adventures of Huckleberry Finn (1985),1884,Adventures of Huckleberry Finn,Mark Twain,2956,1985,Adventures of Huckleberry Finn
30,"Adventures of Huckleberry Finn (1884), Mark Twain",The Adventures of Mark Twain (1985),1884,Adventures of Huckleberry Finn,Mark Twain,2956,1985,The Adventures of Mark Twain
31,"Adventures of Huckleberry Finn (1884), Mark Twain",Back to Hannibal: The Return of Tom Sawyer and Huckleberry Finn (1990) (TV),1884,Adventures of Huckleberry Finn,Mark Twain,2956,1990,Back to Hannibal: The Return of Tom Sawyer and Huckleberry Finn
32,"Adventures of Huckleberry Finn (1884), Mark Twain",The Adventures of Huck Finn (1993),1884,Adventures of Huckleberry Finn,Mark Twain,2956,1993,The Adventures of Huck Finn
33,"Adventures of Huckleberry Finn (1884), Mark Twain",Tom and Huck (1995),1884,Adventures of Huckleberry Finn,Mark Twain,2956,1995,Tom and Huck
34,"Adventures of Huckleberry Finn (1884), Mark Twain",Tomato Sawyer and Huckleberry Larry's Big River Rescue (2008),1884,Adventures of Huckleberry Finn,Mark Twain,2956,2008,Tomato Sawyer and Huckleberry Larry's Big River Rescue
35,"The Adventures of Pinocchio (1883), Carlo Collodi","The Adventures of Pinocchio (1936) (Unfinished, considered a lost film)",1883,The Adventures of Pinocchio,Carlo Collodi,6059070,1936,The Adventures of Pinocchio
36,"The Adventures of Pinocchio (1883), Carlo Collodi",Pinocchio (1940),1883,The Adventures of Pinocchio,Carlo Collodi,6059070,1940,Pinocchio
37,"The Adventures of Pinocchio (1883), Carlo Collodi",Pinocchio (1957) (TV),1883,The Adventures of Pinocchio,Carlo Collodi,6059070,1957,Pinocchio
38,"The Adventures of Pinocchio (1883), Carlo Collodi",The Adventures of Buratino (1959),1883,The Adventures of Pinocchio,Carlo Collodi,6059070,1959,The Adventures of Buratino
